City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
181,durg,99,IN,1601793871,51,21.18,81.28,304.91,2.55
182,gharghoda,95,IN,1601793871,66,22.17,83.35,303.15,0.45
183,ghatal,100,IN,1601793871,69,22.67,87.72,304.73,3.19
184,gummidipundi,75,IN,1601793871,55,13.4,80.15,306.15,5.1
185,jamui,50,IN,1601793871,74,24.92,86.22,302.3,2.22
186,karambakkudi,40,IN,1601793872,49,10.47,79.13,306.15,4.1
187,katol,20,IN,1601793872,43,21.27,78.58,304.15,1.5
188,khanapur,75,IN,1601793872,74,15.63,74.52,299.15,2.6
189,kodungallur,40,IN,1601793872,66,10.22,76.22,303.15,3.6
190,lar,76,IN,1601793872,61,26.2,83.97,304.24,2.27
191,palia kalan,0,IN,1601793872,50,28.45,80.58,305.68,2.64
192,perambalur,40,IN,1601793854,49,11.23,78.88,306.15,4.1
193,petlawad,33,IN,1601793873,42,23.0,74.8,304.29,3.88
194,sayla,0,IN,1601793873,42,22.55,71.47,306.32,2.97
195,tirumullaivasal,100,IN,1601793873,51,11.23,79.83,305.5,2.61
196,uri,0,IN,1601793873,19,34.08,74.03,298.0,2.8
197,uttamapalaiyam,100,IN,1601793873,48,9.8,77.33,303.75,4.53
198,bijar,0,IR,1601793873,22,35.87,47.61,295.7,3.34
199,khalkhal,91,IR,1601793873,71,37.62,48.53,286.38,1.68
200,qeshm,20,IR,1601793874,53,26.96,56.27,309.15,2.1
201,yazd,20,IR,1601793874,22,31.9,54.37,298.15,2.1
202,altopascio,19,IT,1601793874,66,43.82,10.67,290.37,3.13
203,faenza,0,IT,1601793874,67,44.29,11.88,290.37,3.13
204,martellago,75,IT,1601793874,87,45.54,12.16,289.15,3.1
205,mola di bari,0,IT,1601793874,68,41.06,17.09,293.71,2.1
206,sarezzo,88,IT,1601793874,10,45.66,10.2,287.59,2.24
207,viterbo,75,IT,1601793874,87,42.42,12.08,287.15,5.7
208,kasamatsu,100,JP,1601793875,65,35.37,136.76,300.37,0.68
209,kisarazu,75,JP,1601793875,65,35.37,139.92,298.15,3.1
210,komagane,75,JP,1601793875,68,35.73,137.94,295.37,2.6
211,misato,75,JP,1601793875,69,35.83,139.87,299.26,2.1
212,miura,100,JP,1601793640,69,35.14,139.62,297.59,1.34
213,nagareyama,75,JP,1601793875,69,35.86,139.9,299.26,2.1
214,sendai,75,JP,1601793683,78,38.27,140.87,295.15,2.6
215,uto,75,JP,1601793876,51,32.68,130.67,300.15,3.1
216,kinango,40,KE,1601793876,78,-4.14,39.32,300.15,2.6
217,maralal,10,KE,1601793876,50,1.1,36.7,294.29,2.59
218,butaritari,100,KI,1601793876,72,3.07,172.79,300.37,2.6
219,bodden town,95,KY,1601793876,91,19.28,-81.25,299.82,0.89
220,astana,40,KZ,1601793876,70,51.18,71.45,282.15,5.0
221,oytal,20,KZ,1601793876,26,42.91,73.27,292.24,2.78
222,champasak,75,LA,1601793876,62,14.75,106.0,305.15,1.0
223,trincomalee,99,LK,1601793877,52,8.57,81.23,305.64,6.9
224,elektrenai,20,LT,1601793877,72,54.77,24.63,290.15,6.7
225,medernach,75,LU,1601793877,87,49.8,6.22,282.59,7.2
226,mensdorf,75,LU,1601793877,87,49.65,6.3,282.59,7.2
227,sanem,100,LU,1601793692,99,49.55,5.93,283.15,9.91
228,sabile,84,LV,1601793877,84,57.05,22.57,288.11,6.74
229,ambilobe,0,MG,1601793878,31,-13.2,49.05,308.5,1.29
230,bitola,53,MK,1601793878,95,41.03,21.34,292.59,3.26
231,petrovec,75,MK,1601793878,93,41.94,21.61,290.15,1.0
232,topolcani,97,MK,1601793878,53,41.23,21.43,294.64,1.45
233,kirkop,75,MT,1601793878,83,35.84,14.49,297.59,4.1
234,luqa,100,RU,1601793878,59,58.74,29.85,286.11,5.54
235,piton,40,MU,1601793879,78,-20.09,57.63,298.15,4.1
236,atizapan,5,MX,1601793801,76,19.25,-99.55,282.15,0.82
237,atotonilco el alto,0,MX,1601793879,71,20.55,-102.52,285.89,1.55
238,ayotzintepec,68,MX,1601793879,79,17.67,-96.13,293.02,1.59
239,colima,0,MX,1601793879,92,19.17,-104.0,291.18,1.42
240,el higo,16,MX,1601793879,92,21.77,-98.47,293.29,1.55
241,guamuchil,0,MX,1601793879,81,25.47,-108.1,299.82,0.86
242,hoctun,100,MX,1601793879,94,20.87,-89.2,297.59,6.75
243,jaral del progreso,0,MX,1601793880,88,20.37,-101.07,284.82,0.89
244,nicolas ruiz,100,MX,1601793880,79,16.4,-92.53,289.82,1.81
245,nochistlan,0,MX,1601793880,72,21.37,-102.85,284.95,3.15
246,penon blanco,0,MX,1601793880,44,24.79,-104.04,285.65,0.64
247,salinas,90,US,1601793741,93,36.68,-121.66,294.26,2.6
248,santa catarina de tepehuanes,0,MX,1601793880,49,25.35,-105.73,284.45,0.79
249,sayula,0,MX,1601793880,55,19.87,-103.62,287.4,0.19
250,victor rosales,0,MX,1601793881,76,22.95,-102.7,283.66,4.34
251,ongandjera,4,NA,1601793881,17,-17.88,15.07,297.75,2.7
252,usakos,100,NA,1601793881,14,-22.0,15.6,298.58,0.55
253,sarramea,90,NC,1601793881,83,-21.64,165.85,294.15,6.7
254,aguie,3,NE,1601793881,46,13.51,7.78,301.23,0.26
255,abuja,100,NG,1601793881,80,9.06,7.49,297.11,0.43
256,grave,90,NL,1601793881,93,51.76,5.74,284.26,4.6
257,schinnen,75,NL,1601793881,87,50.94,5.89,284.26,7.7
258,brattvag,0,NO,1601793881,71,62.6,6.44,286.15,6.2
259,roverud,100,NO,1601793882,66,60.25,12.05,287.04,1.79
260,sistranda,20,NO,1601793882,71,63.73,8.83,286.15,8.2
261,ulvik,84,NO,1601793882,91,60.57,6.92,282.04,15.65
262,la mesa,20,US,1601793610,49,32.77,-117.02,295.15,1.5
263,azangaro,7,PE,1601793882,70,-14.92,-70.22,279.04,0.92
264,tambo,87,PE,1601793882,73,-14.8,-73.92,278.0,1.77
265,aitape,100,PG,1601793882,74,-3.14,142.35,302.21,3.97
266,aliang,40,PH,1601793883,56,14.28,120.88,307.15,2.1
267,angatel,50,PH,1601793883,65,15.81,120.34,304.62,1.32
268,bacabac,75,PH,1601793883,63,15.73,120.42,306.15,7.2
269,bacalan,100,PH,1601793883,74,11.55,122.08,302.35,2.17
270,bacayawan,99,PH,1601793883,85,7.77,124.23,298.01,1.68
271,balangbalang,100,PH,1601793883,61,9.06,125.62,304.25,1.32
272,balingasay,4,PH,1601793481,74,16.36,119.86,302.64,2.71
273,bal-os,100,PH,1601793883,75,9.44,122.63,302.41,4.06
274,bautista,71,PH,1601793884,62,15.81,120.47,305.16,1.06
275,binidayan,98,PH,1601793884,82,7.81,124.17,298.96,1.44
276,casambalangan,9,PH,1601793884,69,18.38,122.13,303.12,3.62
277,cuartero,100,PH,1601793884,77,11.34,122.67,302.73,3.25
278,dinganen,71,PH,1601793884,65,7.33,124.38,303.43,3.26
279,gigmoto,35,PH,1601793615,72,13.78,124.39,302.52,2.96
280,intampilan,100,PH,1601793884,71,11.48,122.74,302.85,3.6
281,jibao-an,100,PH,1601793884,77,10.78,122.5,302.57,0.41
